pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad
1.46,232.01474,795.0,0.571308,5590.0,0.83
1.82,232.01474,2119.0,0.571331,5617.0,0.98
1.725,8.21,2300.0,0.571292,5532.0,0.99
1.8,232.01474,795.0,0.571336,5614.0,0.97
1.712,7.72,795.0,0.571,5496.0,0.98
1.669,232.01474,795.0,0.571299,5590.0,0.91
1.6,232.01474,795.0,0.571212,5613.0,0.95
1.816,232.01474,795.0,0.571285,5614.0,1.02
1.52,8.36,2333.0,0.571292,5470.0,0.87
1.82,9.0,2063.0,0.571336,5496.0,0.95
2.705,232.01474,795.0,13.339746,5590.0,0.91
2.836,8.9,805.0,13.3397,5532.0,0.99
2.2,232.01474,795.0,13.334615,5613.0,0.95
2.77,5.7,722.0,13.3387,5496.0,0.95
2.8,232.01474,795.0,13.338687,5614.0,0.97
2.5,5.8,774.0,13.3397,5470.0,0.87
2.73,232.01474,741.0,13.339079,5617.0,0.98
2.53,232.01474,795.0,13.341245,5590.0,0.83
3.79,232.01474,795.0,13.33877,5614.0,1.02
1.27,232.01474,932.0,0.72813,3506.0,0.42
1.1,232.01474,795.0,0.728113,3782.0,0.32
2.332,10.4,804.0,16.141132,5868.0,1.0
2.02,232.01474,739.0,16.13655,5886.0,1.0
2.06,232.01474,795.0,16.140442,5870.0,0.98
13.274,232.01474,1330.0,6.1802675,6513.0,1.74
11.781,953.49,1401.0,6.180235,6202.0,1.59
12.442,4131.79,183.0,3650.0,4898.0,2.7
1.95,8.75,1616.0,3.5951,5430.0,1.71
3.67,14.67,990.0,15.624,5430.0,1.71
3.94,10.18,752.0,35.747,5430.0,1.71
2.28,5085.28,2375.0,10.50682565,2838.0,0.95
2.28,2.5,587.0,2.30538,3326.0,0.3
2.28,3.75,387.0,8.0518,3326.0,0.3
2.061,232.01474,393.0,5.7459945,3413.0,0.32
2.025,11.7,456.0,5.746007,3348.0,0.31
2.28,232.01474,795.0,5.745912,3390.0,0.31
2.28,1.08,231.0,10.3465,3024.0,0.14
2.28,1.36,182.0,21.202,3024.0,0.14
2.28,1.37,795.0,3.204,2953.0,0.16
2.28,1.74,795.0,6.689,2953.0,0.16
2.28,1.64,795.0,13.031,2953.0,0.16
1.16,1.62,409.0,1.62893,3270.0,0.21
2.28,1.58,795.0,10.50682565,5614.0,0.95
1.43,1.63,644.0,1.6289287,5614.0,0.26
1.13,1.66,529.0,1.628931,3270.0,0.21
1.215,232.01474,546.0,1.6289322,3202.0,0.23
2.28,2.64,300.0,8.929,3270.0,0.21
2.28,107.74383,795.0,41.375,3357.57,0.37
2.28,94.7094,795.0,41.397,3287.0,0.36
2.28,96.7,795.0,41.38,3287.0,0.36
2.28,68.06,795.0,532.58,3287.0,0.36
2.28,82.63539,795.0,535.9,3357.57,0.37
2.28,10.62,795.0,389.7,3280.0,0.18
2.28,232.01474,795.0,1.58040481,3026.0,0.21
2.847,6.26125,795.0,1.58040456,3026.0,0.22
2.64,232.01474,795.0,1.5804049,5614.0,0.21
2.27,6.43,795.0,1.58040482,5614.0,0.21
2.28,232.01474,795.0,1.58040835,3074.0,0.21
2.28,232.01474,795.0,1.58040465,3074.0,0.21
2.65,6.45,795.0,1.58040482,3170.0,0.18
2.74,6.37,547.0,1.58040487,2949.0,0.21
2.678,6.55,555.0,1.5803925,3026.0,0.21
2.28,232.01474,795.0,10.50682565,3026.0,0.2
2.28,232.01474,795.0,1.58040481,3000.0,0.95
2.28,232.01474,604.0,1.58040417,3250.0,0.22
2.28,232.01474,795.0,1.58040454,3026.0,0.21
2.742,8.17,596.0,1.58040433,3250.0,0.21
2.28,232.01474,795.0,1.58040494,3074.0,0.21
2.61,232.01474,795.0,1.5804043,5614.0,0.2
1.18,1.32,795.0,0.5182416,3458.0,0.39
2.28,232.01474,795.0,0.5182418,3458.0,0.39
1.193,2.09,1089.0,0.5182349,3458.0,0.39
1.193,1.32,795.0,0.5182331,5614.0,0.95
1.14,232.01474,1019.0,0.51823846,3325.0,0.39
2.28,7.4,795.0,3.6511,3236.0,0.19
2.28,30.63,795.0,35.589,5614.0,0.73
2.61,22.7,422.0,35.61253,4640.0,0.69
